comuna_nombre,fecha,fk_comuna,fk_localidad,fk_region,funcionamiento_dia,funcionamiento_hora_apertura,funcionamiento_hora_cierre,local_direccion,local_id,local_lat,local_lng,local_nombre,local_telefono,localidad_nombre
LA CALERA,2021-06-28,56,12,6,lunes,09:00:00,08:59:00,J J PEREZ 199,5,-32.7882065329844,-71.189446195146,AHUMADA,+563326316573,LA CALERA
QUILLOTA,2021-06-28,69,32,6,lunes,09:00:00,08:59:00,CHACABUCO 281,17,-32.878335491624,-71.246141889165,CRUZ VERDE,+56332319578,QUILLOTA
LA CRUZ,2021-06-28,57,13,6,lunes,09:00:00,21:00:00,"21 DE MAYO 5628, LOCAL 1, LA CRUZ",37,-32.8235326035501,-71.2260811844591,SALCOBRAND,+56332320677,LA CRUZ
QUILPUE,2021-06-28,70,33,6,lunes,09:00:00,08:59:00,DIEGO PORTALES N° 802,43,-33.0469493869154,-71.4416812900202,AHUMADA,+563219,QUILPUE
QUILPUE,2021-06-28,70,54,6,lunes,08:30:00,19:00:00,LAS BARRANCAS 2491 L 3C Y  4D,59,-33.0661975068523,-71.4228941507292,AHUMADA,+5632232740640,LOS PINOS
QUINTERO,2021-06-28,71,34,6,lunes,09:00:00,08:59:00,PILOTO ALCAYAGA  N° 1919,65,-32.7856824763479,-71.526446430538,ECONOMICA,+56322932576,QUINTERO
VILLA ALEMANA,2021-06-28,79,40,6,lunes,09:00:00,08:59:00,AV. VALPARAÍSO N° 664,75,-33.0442018537089,-71.3733634400135,CRUZ VERDE,+56322957566,VILLA ALEMANA
VIÑA DEL MAR,2021-06-28,80,28,6,lunes,09:00:00,23:00:00,QUILLOTA N° 493,98,-33.0181329872639,-71.5466519206006,CRUZ VERDE,+56322680656,PLAN DE VIÑA
VIÑA DEL MAR,2021-06-28,80,35,6,lunes,09:00:00,21:00:00,J.M.CARRERA  N° 201,100,-33.0275549545313,-71.5734684105632,CRUZ VERDE,+56322620782,RECREO
VALPARAISO,2021-06-28,78,2,6,lunes,09:00:00,23:00:00,CONDELL Nº1509  LOCAL  2,164,-33.046159219172,-71.6213619359347,DR. SIMI,+56322157243,PLAN VALPARAISO
ALGARROBO,2021-06-28,45,3,6,lunes,09:00:00,01:00:00,AV. CARLOS ALESSANDRI Nº 1915 - 1923,195,-33.3610508004278,-71.6658821617468,CRUZ VERDE,+56352489065,ALGARROBO
EL TABO,2021-06-28,52,50,6,lunes,09:00:00,21:00:00,ERRAZURIZ Nº 182 LAS CRUCES,205,-33.499676,-71.616060,LAS CRUCES,+56352431224,El TABO
CARTAGENA,2021-06-28,48,5,6,lunes,09:00:00,01:00:00,ALMIRANTE LATORRE Nº80,206,-33.5469589215463,-71.602734921825,CARTAGENA,+56352450374,CARTAGENA
ISLA DE PASCUA,2021-06-28,54,11,6,lunes,09:00:00,21:00:00,ATAMU TEKENA S/N,228,-27.1497101, -109.4290893  ,CRUZ VERDE,+56322551541,ISLA DE PASCUA
CATEMU,2021-06-28,49,7,6,lunes,09:00:00,21:00:00,BORJA GARCIA HUIDOBRO N° 051,249,-32.7780107476414,-70.9623902381342,FARMAVIDA,+56342631035,CATEMU
LA LIGUA,2021-06-28,58,14,6,lunes,09:00:00,08:59:00,ORTIZ DE ROZAS N° 498,254,-32.4488813729109,-71.231006201479,ECOFARMACIAS,"+56713253, 3",LA LIGUA
LOS ANDES,2021-06-28,61,20,6,lunes,09:00:00,08:59:00,MAIPU N° 302,259,-32.833526665096,-70.5973027730903,CRUZ VERDE,+56342402955,LOS ANDES
PAPUDO,2021-06-28,65,25,6,lunes,09:00:00,21:00:00,CHORRILLOS N°93,272,-32.5072043868488,-71.4471110053879,SAN JOSE PAPUDO,+5633+56999987723,PAPUDO
PUTAENDO,2021-06-28,68,31,6,lunes,09:00:00,21:00:00,A. CAMUS  90,274,-32.6258032740768,-70.7168742510353,NUEVA ANTONIO,+56342501989,PUTAENDO
SAN FELIPE,2021-06-28,75,37,6,lunes,09:00:00,08:59:00,"PORTUS Nº1194, LOCAL 2",281,-32.7504946484281,-70.7239589333067,NUEVA MODERNA,+56511659,SAN FELIPE
CONCON,2021-06-28,50,8,6,lunes,09:00:00,08:59:00,BORGOÑO 25180,334,-32.9202235851259,-71.5099412409831,MONTEMAR,+56322813051,CONCON
VIÑA DEL MAR,2021-06-28,80,10,6,lunes,09:00:00,21:00:00,AV. GOMEZ CARREÑO 3601 L-5,494,-32.9889860065243,-71.5251538954139,DR. SIMI,+56322833952,GOMEZ CARREÑO - REÑACA ALTO
BUIN,2021-06-28,83,102,7,lunes,08:00:00,07:59:00,CAMINO LONGITUDINAL SUR  4251. L-1. LINDEROS,762,-33.776768,-70.744247,SUIZA,+560287458564,BUIN
